year,season,dimension,group,n_sample,T1_mean_C_sample,T0_mean_C_sample,dT_mean_C_sample,dT_median_C_sample,positive_fraction_sample
2000,summer,slope,0-5,6,27.2135375733058,27.218382662270574,-0.004845088964779966,-0.00365181543077495,0.3333333333333333
2000,summer,slope,10-15,6,28.453537623087566,28.31061643631145,0.14292118677611698,-0.00046547833017740003,0.5
2000,summer,slope,15-20,6,26.795825640360516,26.78437029983098,0.011455340529533823,-0.04329282933754535,0.3333333333333333
2000,summer,slope,20-30,6,28.91864267985026,28.55789921701314,0.36074346283711795,0.06840466169536615,0.6666666666666666
2000,summer,slope,30-plus,6,26.855244318644207,26.69893684985918,0.15630746878502735,0.5181280848942205,0.6666666666666666
2000,summer,slope,5-10,6,28.053811073303223,28.10263492514606,-0.04882385184283325,-0.0278772610305005,0.5
2000,winter,slope,0-5,6,13.398911714553833,13.396869056600586,0.00204265795324435,-0.00026318121662785,0.5
2000,winter,slope,10-15,6,12.273959716161093,12.414758241074855,-0.14079852491376255,-0.01036369911356115,0.16666666666666666
2000,winter,slope,15-20,6,11.858316977818808,12.138570686012486,-0.28025370819367873,-0.17132140670157794,0.0
2000,winter,slope,20-30,6,13.124467055002848,12.954144147713462,0.1703229072893849,0.19760112374602729,0.6666666666666666
2000,winter,slope,30-plus,6,10.239405492941538,12.096910250844594,-1.8575047579030548,-1.0880461644624875,0.16666666666666666
2000,winter,slope,5-10,6,13.599744635370413,13.590758547254167,0.008986088116245084,0.0064440847397868005,0.8333333333333334
2020,summer,slope,0-5,6,27.380214990192,27.383652571682575,-0.0034375814905741498,-0.00031496147929925,0.5
2020,summer,slope,10-15,6,27.454582884704966,27.397708179715043,0.056874704989925355,0.010697484533176652,0.5
2020,summer,slope,15-20,6,26.830256779988606,26.951393834975054,-0.12113705498645187,-0.15531100782046892,0.3333333333333333
2020,summer,slope,20-30,6,27.86630520677892,28.67559953352266,-0.8092943267437386,-0.10772708421725236,0.16666666666666666
2020,summer,slope,30-plus,6,27.765273729960125,27.80014265947546,-0.03486892951533586,0.010862445807470394,0.5
2020,summer,slope,5-10,6,27.147920129874453,27.132931185170563,0.01498894470389505,0.00923364303371875,0.6666666666666666
2020,winter,slope,0-5,6,13.930673794917533,13.930686000635276,-1.2205717744533237e-05,0.00066545323613405,0.6666666666666666
2020,winter,slope,10-15,6,14.817402283350626,14.784711171987617,0.03269111136300735,0.06764256833325885,0.6666666666666666
2020,winter,slope,15-20,6,13.873148918151855,13.895470174033315,-0.022321255881461475,-0.016656088972045048,0.5
2020,winter,slope,20-30,6,14.336496909459433,14.207448197535212,0.1290487119242186,0.1921419821740722,0.5
2020,winter,slope,30-plus,6,13.039808424469259,14.00789719791402,-0.9680887734447573,-0.42959236859224337,0.3333333333333333
2020,winter,slope,5-10,6,15.264725860756997,15.27082425948725,-0.00609839873025565,-0.00034828190027445,0.5
2000,summer,elevation,0-500,6,28.054802894592285,28.11229561365082,-0.057492719058536416,-0.022525951810417,0.3333333333333333
2000,summer,elevation,500-1000,6,26.613381385803223,26.484929159985295,0.12845222581792962,0.006278536536846951,0.5
2000,summer,elevation,1000-1500,6,25.525039990743,25.404774729045826,0.12026526169717398,0.0176176317588936,0.5
2000,summer,elevation,1500-2000,6,25.936867435264617,25.70311644637754,0.23375098888708182,0.0571814737961897,0.6666666666666666
2000,summer,elevation,2000-2500,6,28.00750668843587,27.88771006959641,0.11979661883946353,0.01157180190299025,0.5
2000,summer,elevation,2500-3000,6,32.15300051371256,32.0800143717755,0.07298614193707033,-0.09604143837577969,0.5
2000,winter,elevation,0-500,6,19.758779684702557,20.163722751020785,-0.40494306631822763,-0.07105406439664455,0.3333333333333333
2000,winter,elevation,500-1000,6,16.874465306599934,16.87079610202613,0.0036692045738053827,0.0026290162179840497,0.5
2000,winter,elevation,1000-1500,6,13.561029113875867,14.049649097037,-0.4886199831611373,-0.0223842411118306,0.3333333333333333
2000,winter,elevation,1500-2000,6,12.382930596669516,12.306640975492298,0.07628962117721728,-0.0026402112508004,0.5
2000,winter,elevation,2000-2500,6,7.542044540246327,8.929960963403028,-1.387916423156702,-0.36933041657135535,0.5
2000,winter,elevation,2500-3000,6,4.3755563497543335,4.271241040520911,0.1043153092334224,-0.0238228892277914,0.16666666666666666
2020,summer,elevation,0-500,6,28.692123656376435,28.735376267319708,-0.043252610943269466,0.0008489332570515999,0.5
2020,summer,elevation,500-1000,6,26.05915896097819,26.12642838741169,-0.06726942643349666,-0.0162103439041878,0.16666666666666666
2020,summer,elevation,1000-1500,6,25.59455795524417,25.524941832892726,0.06961612235144146,0.01450178669668385,0.6666666666666666
2020,summer,elevation,1500-2000,6,26.22686258951823,26.341704071071163,-0.11484148155293401,-0.11243924000811666,0.3333333333333333
2020,summer,elevation,2000-2500,6,28.903190094592528,28.334078079833972,0.5691120147585517,0.036374751052498704,0.6666666666666666
2020,summer,elevation,2500-3000,6,28.968660464789526,30.278899326012098,-1.310238861222573,-0.13183431546002916,0.3333333333333333
2020,winter,elevation,0-500,6,22.370086372055848,22.404467045687042,-0.03438067363119464,0.0024628002789661,0.6666666666666666
2020,winter,elevation,500-1000,6,17.591412384600734,17.502977139471657,0.08843524512907665,0.00043016554431575,0.5
2020,winter,elevation,1000-1500,6,15.408731937408447,15.451178321888122,-0.042446384479675914,-0.0186957912264249,0.3333333333333333
2020,winter,elevation,1500-2000,6,13.412813688573543,13.45455803249064,-0.04174434391709674,0.01316265163758505,0.6666666666666666
2020,winter,elevation,2000-2500,6,9.834916556131796,10.781229020105725,-0.9463124639739281,-0.14496705808372387,0.3333333333333333
2020,winter,elevation,2500-3000,6,6.64429525233534,6.502627441949515,0.1416678103858258,0.0975451045180939,0.6666666666666666
